Insult,Date,Comment
0,20120620144727Z,"""Who us say trustworthy hold nuclear weapons? Especially Israel, precisely, apologists like yourself?"""
1,20120619231150Z,"""god, really stupid."""
0,20120530144154Z,"""you talk crap.\xa0 Nothing shooting ""endangers many species birds animals"" welcome give us examples this.\n\nSo go on, name animals birds endangered shooting."""
1,20120320111151Z,"""you're FUCKING DUMB!"""
0,20120611194142Z,"""*replying save space*\nI think I understand feeling. Put way, someone actively involved systematic elimination human beings, I totally understand movie shit really aint important grand scheme things. However, I others similar situation use decompress real shit, often movies help express stuff ways film can. It value.\nAnd hypothetical situation victim using faith survive, I would recount <i>very real</i> examples young afghan girls getting faces mutilated family irrational outdated customs/religious beliefs. Is better faith produces atrocites. I know, I dont answer. Alls I know although I thoroughly disagree absolute abolition religion, obvious find way evolve thought processes. \nOh, far movie related articles concerned, Scientology famously big force entertainment industry, many big name A-list actors follow faith. I think warrants discussion. And forget, theres movie coming later year Hubbard, trailer covered recently here. Worth checking out."""
0,20120612145414Z,"""Man, got music knickers twist.\xa0 I play two three- chord riffs e flat.\xa0 I know parity comes it.\xa0 Strum on, guy."""
1,20120502164530Z,"""Many\xa0Sri Lankans\xa0talking shit\xa0as usual.\xa0we\xa0must build\xa0sri\xa0lanka\xa0we\xa0must work together.\xa0when\xa0will you\xa0understand that??"""
1,20120619170743Z,"""Doubt it.. showing awesome reading comprehension skills.. said acting like b!tch b!tch big difference genius"""
1,20120610134825Z,"""BUDDHA IS A FAT ASS SLOB..........NUFFFFF SAID. HE IS THE FAKE. YOU MORON."""
1,20120609191921Z,"""You called someone stupid? Wow, must smoke spice meth combined sound brain dead. Before putting 2 sense something education on, hear Media, think say. You sound like fucking pawn like rest society, believe everything see news, brainwashed grunt."""
0,20120620151631Z,"""5-31 CNN poll ""Please tell whether agree disagree following candidates personality leadership qualities president have.""\n\nRESULT: Obama 60%, Romney 51%. \n\nhttp://www.politico.com/news/stories/0612/77009.html"""
0,,"""@Coach P @RR-Track-Dawg70s @VirginiaDawg Mason looks RS either Lemay Bauta backup."""
0,20120619111349Z,"""hey! Jamie ... allkpop biased .. they're writing fucking truth idols there"""
0,20120503035419Z,"""@Samadhi\xa0\xa0@voiceofinsanity\xa0Lol, I ways upset b/c called moron. I've called much worse. And I never picked side. \xa0I understand what\xa0legitimate\xa0proof have, besides bullshit guilt association, makes TrAyvon gang banger. Might I point yet provide reason behind statement topic. BTW, I read story post. It's kind hard stay topic I debate completely change topic start attacking me! Right!"""
0,20120620004924Z,"""Maybe go back read second comment"""
0,20120610175817Z,"""Money & bitches niggaz. Get money > Fuck bitches > & ball wit yo niggaz.... preach nigga Jones lol"""
0,20120619192450Z,"""I think still tired, either proof read wrote fast. ""shelby beside got drive intoxicated brothers home"" ????\xa0\n\nof course know meant UNCLES\n\nI glad yall fun. I think everyone needed even girls! especially bobby."""
0,20120527185632Z,"""who gives fyck second year"""
0,20120610011338Z,"""Please talk shit artist 2PM's article. We, Hottest, always respect artists pushing make artist look better. We proud fandom."""
1,20120619184654Z,"""She continues Obama's whore."""
0,20120620143156Z,"""how towers connect bottom pentagon? Since flat..."""
0,20120528191803Z,"""Merci beacoup, tous \xeates vraiment mignon Chlo\xe9!. La soir\xe9e \xe9t\xe9 tout\nsimplement la plus beau de vie.."""
0,20120514050401Z,"""stupid cuz Kara girls always shorts skirts dresses...it's ok I can't see shit anyways! still luv her!"""
1,20120502160737Z,"""You dream heard, sister gave handjob symbol pity"""
0,20120612123020Z,"""M\xecnh c\xf3 kinh nghi\u1ec7m sau \u0111\xe2y. B\u1ea1n th\u1eed l\xe0m theo c\xe1c b\u01b0\u1edbc sau \u0111\xe2y xem sao:\n\xa0\xa0 1) D\xf9ng Fire Fox ho\u1eb7c Google Chrome \u0111\u1ec3 v\xe0o Google ( kh\xf4ng d\xf9ng Internet Explorer ).\n\xa0\xa0 2) G\xf5 "" anonymouse.org ""---> enter ---> click v\xe0o ""anonymouse.org"" \u1edf d\xf2ng \u0111\u1ea7u ti\xean.\n\xa0\xa0 3) C\u1eeda s\u1ed5 m\u1edbi hi\u1ec7n ra c\xf3 2 l\xe1 c\u1edd c\u1ee7a n\u01b0\u1edbc Anh v\xe0 n\u01b0\u1edbc \u0110\u1ee9c. Click tr\xe1i v\xe0o l\xe1 c\u1edd Anh \u1edf b\xean tr\xe1i.\n\xa0\xa0 4) C\u1eeda s\u1ed5 m\u1edbi hi\u1ec7n ra. B\u1ea1n th\u1ea5y ph\xeda d\u01b0\u1edbi h\xe0ng ch\u1eef ""ENTER WEBSITE ADDRESS "" c\xf3 2 khung ch\u1eef nh\u1eadt. \u1ede khung b\xean tr\xe1i, b\u1ea1n g\xf5 ""danlambaovn.blogspot.com "" ( n\u1ebfu mu\u1ed1n \u0111\u1ecdc trang BBC Vi\u1ec7t Ng\u1eef th\xec g\xf5 ""bbc.co.uk/vietnamese"" ) . Sau c\xf9ng b\u1ea1n \u0111\u01b0a con tr\u1ecf v\xe0o khung ch\u1eef nh\u1eadt b\xean ph\u1ea3i, click tr\xe1i 2 l\u1ea7n v\xe0o h\xe0ng ch\u1eef ""surf anonymously"" s\u1ebd \u0111\u1ecdc \u0111\u01b0\u1ee3c."""
1,20120320150255Z,"""And I call brain dead jew retard true. Perhaps got muslim nazi's dick ass friends."""
0,,"""Would someone please send guy blow doll Obama 55 gallon drum KY done . . ."""
0,20120530053012Z,"""as browns fan, softly weep."""
0,20120530061142Z,"""you troll hard"""
0,20120611171655Z,"""Thats clich\xe9...and typical, baseless silly accusation homosexual advocates throw try scare adversaries. Whats next"" Im homophobe? I'm closet homosexual? I'm bigot? LOL. Come on..you better can't you? That stuff worn out. Find something new say me. Lets see really imaginative."""
0,20120611195512Z,"""It's sad utterly uncool proglodytes become four short years"""
1,20120320170051Z,"""You one brought topic Kalifornia Ken-doll\n\nand whine like beech somebody calls it?\n\nwhatever....\n\nkeep trolling teabagger Ken-doll....you may get lucky Kalifornia phaggot"""
0,,"""Bear sec. George Stephanopoulos Greek right. Greece rioting. Quit Riot.Cum Feel Noise. Bring da noise, Bring funk. Bring Pain. Method Man. Barack Obama's method take USA hire George Soros Media Matters make Dick Morris suck toes Hannity's show totally make Fox News look like bunch pinky toe licking con artists, discrediting awesome guys like Glen Back Oliver North. Go ahead call crazy."""
0,20120530124415Z,"""Magic Number, Magic Underpants = No Big Deal"""
0,20120529030208Z,"""You really talented Channel.\xa0 Multi faceted shit!"""
0,20120618215525Z,"""May eat shit <i>live</i>."""
0,20120612003619Z,"""There ethnic cleansing. Flag spam."""
1,20120320180328Z,"""You need serious psycho;logical help."""
1,20120610152339Z,"""Look talking...the payaso sucks English Spanish!"""
0,20120530000659Z,"""....You right along. NOT !"""
0,20120610073440Z,"""One day let child eat lights naked? You one sick puppy"""
0,20120529004319Z,"""if rcae premise - help us. If fear religion premise - God helps us !"""
0,20120619123826Z,"""oh shit ....the one tattoos Id suck dry!!!"""
1,,"""YOU filthy ignorant--cock-sucker stankin ass whore u leave still ahead someone stick dick mouth make u shut up"""
1,20120620180742Z,"""Sarcasm? learn spell moron"""
0,20120619061240Z,"""Why willing share cell?"""
1,20120609195830Z,"""If u didnt give fuck saying ur dumbass replying? Clearly u ignorant unsophisticated."""
0,20120527215030Z,"""Obama thinks best country, GOP think best Republican party......it easy choice come November."""
0,20120612015942Z,"""Well true like anal?"""
0,20120611224147Z,"""I still get big deal, shit."""
1,20120619060001Z,"""your ignorant fuck.. black people skateboarding long ass time.. stop looking lil wayne set trends"""
0,20120619020332Z,"""Not really says lot lack understanding subject."""
0,20120609192954Z,"""Hahaha nigga We CP ATL yo ass bring pussy ass niggas blood pussy hands handle fights. 1712 Temple Ave College Park, GA 30337....you aint bout life I bet tonite tomorrow next year ill still sleep like baby"""
0,20120611171753Z,"""Polls across country show time time...that voters vote homosexual faux marriages."""
0,20120620030859Z,"""WIN WIN WIN HONEY BADGER CARRY US TO THE PROMISED LAND"""
1,20120320183842Z,"""You're turd."""
0,20120609235424Z,"""With imminent Defeat Iraq Afghanistan. The head Snake Imperislism cut Syria brave people Region support Russia, China Nations standing Justice Equality."""
0,20120612071856Z,"""Wake smell coffee, current premier WC?"""
0,20120530134833Z,"""I understand saying.\n\nOut Black, White."""
1,20120611195614Z,"""You 60 years worth history wrong, I'm ""idiot!?!?""\n\nbenny_hill, hide comment history. I caught posting old name, delete profile anyone see campaign character assassination, smear distortion.\n\nCowardly much?"""
1,20120609163517Z,"""AlenLemone - Anyone intelligent reading comment could come conclusion mental issues, say least. Either simply biased russian."""
1,,"""Bitch, replied comment, stupid ass nigga. Shut trolling ass log go breathe air once. And LMAO @ fast replied back me. I see live site smh. Go get dick wet, seriously stop sucking uncle ronnie's dick."""
0,20120611224327Z,"""I guess Obama's version ""I like firing people..."""""
0,,"""FOXTARD LOGIC:\\n\\n""no matter many proven facts present me, whether back science, math, plain logic, support narrow right wing view justify fear hatred, MUST part vast left wing conspiracy make gay mvslim mexican"".\\xc2\\xa0"""
1,20120527155151Z,"""buzz twat"""
0,,"""I thought makeup suppose make bitch look better, case that's total opposite.\\n"""
0,20120612082332Z,"""Have country found PUNEET PUNEET yet. Your burn flag. Your country corrupt Indian people gs. Pay peanuts get stupid fken indians"""
0,,"""what great way run business."""
0,20120609181937Z,"""why here? hate much? Maybe someday figure out."""
1,20120502192154Z,"""Go change depends, crybaby."""
0,20120515230553Z,"""Yes are!!!"""
1,20120611211102Z,"""That 45 minutes ago troll. Get times."""
0,20120530011140Z,"""Oh...so unions ok..?? Who would decide ones go..???"""
1,20120620041018Z,"""Stop whining moron democrats backed aFucking brain marxist loser 2007. Now pay price"""
0,20120620174642Z,"""This actually dumb idea.\xa0 So switch one union another what?\xa0 What state unions?\xa0 What CCPOA CAHP others?\xa0 Apparently clue bargaining system, specific unions skrew employees.\xa0All takes one two unions make deal enforced employees.\xa0 Are going decertify them?\xa0 You naive want someone else collect dues."""
1,20120609205651Z,"""I already insurance jack AZZ. But If I I show I want medical care dumb AZZ paying like can't afford get insurance. See, I like talking people like you, use nasty language opposition that's way deal people agree you."""
0,20120502160843Z,"""And course added benefit poor 19yo forever drive like old lady fear hitting somebody else. On behalf drivers get stuck behind slowpoke future would like say girls - Fuck You Very Much."""
0,,"""First SCOTUS moron, secondly ruling 9th \\nwritten Kennedy bro, read it? It mirrors Romer v. Evans, I \\nwouldn't sure slap down, need one vote the\\n Supremes judging rulings gay rights equal \\nprotection past, Perry v. Brown slam dunk\\xc2\\xa0 side."""
0,,"""Whyte brings mind sleezy, greasy second hand car saleman act conning poor old dear money. Where ""in Whyte trust"" comments now, slowly surely followers rangers awakening destinct demise team.........R.I.P."""
0,20120610052718Z,"""Yeah fault lie bigot, lies calling it."""
0,20120529005945Z,"""Demoralized word think current soldier reading comments."""
0,20120619170419Z,"""""Angel"" hot, she? I can't remember. Yes, piece shit movie."""
1,20120610133144Z,"""Leidiot disgusting leader""less"", moronic, self serving, egotistical, selfish, bullying, idiotic, clown like, deceitful hateful scumbag."""
1,20120320193354Z,"""Your Teabilly slutchild ignorant mother.\n\nYou people trailer trash America."""
0,20120515174911Z,"""oh Leigh...don't normally pick front runner now...."""
0,20120612140246Z,"""And parents afraid AFRAID let kids play outside. I used ride bike Stockton (before came Stockton today) climb tress play cowboys indians (where someone dramatically died every six seconds).\n\nOf course, people went church spanking schools lot respect institutions made country great.\n\nSo sure, let's sue Hollywood, let's sue liberals made Democratic party moral wasteland today."""
1,20120618221552Z,"""NO FUCKING WAY??!!!! You can't leave us! Can't knock old lady something? Turn tricks? Blackmail someone? \n\nFUCK! NOOOOOOOOOOOOOOOOOOOOOOO!!!!!!!!!!!!!!!!!!!!"""
0,20120619181811Z,"""SO everyone board mosque built near Twin Towers?"""
1,20120529042045Z,"""Shut PAWB. Lebron lsoing going ad years life."""
0,20120610152139Z,"""Yeah! And Nixon gotten away meddling kids!"""
0,,"""Schmeichel horror shows first season, went become one best (if best) EVER, plenty time De Gea shine !"""
1,20120619180238Z,"""And sodomize will?\xa0 You sick ticket Annabelle."""
0,20120530013741Z,"""Yay, IGN! (not sarcastic) You've echoed complaints many forum users, including myself: Inferno hard normal people blandly straightforward AH junkies.\xa0\n\nBut Blizzard indicated plan patch this, I'm worried."""
1,20120320122704Z,"""fuck whore"""
0,20120612125925Z,"""@Dieofnv Like I said: FUCK YOU.\n\xa0\nPeople like erode press freedom, I going hope otherwise."""
1,20120609210255Z,"""damn, truly stupid"""
0,20120527192643Z,"""1-0???\n\nWhat game watching?"""
1,20120609235122Z,"""lol ur dumb/retarded"""
0,20120619005651Z,"""Garfield....is near Dixie Manor queeny? Or Key West homosexuals kind homie?"""
0,20120611204625Z,"""Go Texas great American Dads arent affraid stand right right fact little Bastar_ isnt going commit crime again. Hell I send money bail pick up!!!"""
0,20120514051232Z,"""no - are."""
0,20120527163956Z,"""<div class=""forum-item forum-reply""><div class=""forum-item-description"">I'm compiling list threads since Sandals returned. &nbsp;Someone going disappointed himself.</div></div>"""
1,20120502191534Z,"""Hey moron, 1) disgusting human 2) Seau wasnt pats teams. You're fool."""
0,20120609183508Z,"""Mcfloyd, simple assertions hold scrutiny. \xa0Did Bush live within means? \xa0Did fully reveal costs two simultaneous wars, Energy Policy made behind closed doors led Dick Cheyney, costs Big Pharma Drug Benefit giveaway? \xa0Did President Obama inherit budget surplus budget deficit? \xa0How many jobs losing President took office? \xa0When come back answers, perhaps I'll give inane little quips consideration."""
1,20120320111220Z,"""BS. Lowe arrogant prick. Beyond criticism? You deserve nothing criticism idiot."""
1,20120527211628Z,"""Can post statement\xa0 without using word idiot?\xa0 Try little eloquent retorts start pulling wings flies to\xa0while hours away......."""
0,20120611170221Z,"""""Oh! Oh! I got idea! How 'bout song that's whiny bull crap?\u201d - Peter Griffin talking Coldplay Family Guy Season 8, Ep. 16\n\n'par' (I think I'm starting like word, entirely sure I'm getting usage correct)"""
1,20120620163353Z,"""says child understand relevancy means. It's ok Schimidt, get fact closed book. Thankfully, impact society meaningless. I accomplish first hour day entire life"""
0,20120611190714Z,"""@Poliveira23\xa0Well, If going interview someone lack realism game should...I dont know...actually play game making fool interview?"""
0,20120610153845Z,"""Possibly, 'anyone'"""
0,20120529190541Z,"""A thousand US troops died Sudan? I think so."""
0,20120619225508Z,"""I double-taked (took?) that. Malaise? MALAISE? ""Hating shit puberty"" malaise, goddammit. Teen malaise, give fucking break. \n\nOn hand, I least drinking work right now, I understand school-bound teenagers lucky."""
0,20120529011524Z,"""NOOOOOO!!! NOT MILTON BRADLEY!!!"""
0,,"""no doubt poor woman offered good deal car turns garage."""
0,20120619171856Z,"""GaGGEDinUSA: killed kids talking about? Are talking Russians Syrian rebels allies Pakistan, Saudi' Arabia Qatar? I follow you, whatever trying say."""
0,,"""Muslims want blow up, let 'em.\\nI care less."""
1,20120320214019Z,"""And big phat, brown, stoopid libturd..."""
1,20120620135033Z,"""I wish uglyandpoor. You nothing say own, post things I said - context. You horrible little person. flag yet again."""
0,,"""@PaulMomo definitely, trumped Burt Reynolds episode... I thought one quite hilarious. Since one ocelot, ergo, LATIN, better."""
1,20120620024517Z,"""Storobin - you\xa0stole damned election.\xa0 You wanted neighborhood.\xa0 Get hell go back wherever came from."""
0,20120527214359Z,"""If expand 12 go 16 4 team pods. I would add Georgia Tech Virginia Tech SE pod. ISU, WVU, Louisville ND NE pod."""
0,20120609214209Z,"""I'm election official running polls Southern California last Tuesday.\n\nONE Libertarian voted."""
1,20120320091805Z,"""You two fucking trolls. What sickening thought. Last time I checked Oaxaca relatively safe, ya'll know cause heads ass. Btw, violence borderstates Mexico. Or forget that, too?"""
0,,"""well worded. ""was proud time"" meaning they\\xc2\\xa0feel world owes thank killing\\xc2\\xa0civilians ""saving"" more?\\xc2\\xa0shouldnt thank lost lives help ""save"" people? make sick. \\n\\nand bird\\xc2\\xa0giving words wisdom. it\\'s great understand logic ironically point out\\xc2\\xa0""will bend facts contort causality"" comes debates. forgot point using facts\\xc2\\xa0out context. please go educate rest friends find giant mirror stare into. \\xc2\\xa0"""
0,20120529012421Z,"""Oh great, they're gonna devote time Santino Dbl R. FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU-"""
1,,"""i sick seeing fuck asshole bitch made chain latters o.O? gonna kill person ""inside"" asshole sick son bitch made crap things look grace wow cool ghost\\\\nme:*claps* NOW SUCK MY DICK MOTHER FUCKING ASSHOLE fuck lol"""
0,20120528181113Z,"""<b>;-)</b>\xa0 LOL. .. bustin' chops... he's already base today- must good !"""
1,20120320142343Z,"""Coolest president ever? Your complete waste oxygen resources. Phucking idiot"""
0,20120620060012Z,"""I think interrupted middle speech."""
0,20120612043526Z,"""Dodger radio playing tunes ""fuck you"" end commercial break. They must reading comments."""
0,20120609223327Z,"""Ohh, W.Bengal commie then, you? No wonder talk like sick nut. You people war reality, even Lefty Mamta sanghi you. Pathetic. Haha, wonder fear pro-development guy like Modi."""
0,20120620032052Z,"""Which second buy? I might want half it."""
0,20120619172637Z,"""And summer wasting away inside wrong."""
0,20120619150411Z,"""I would gotten car fucked up"""
1,20120619010157Z,"""Shows know dipshit, Remington Winchester made China.\xa0 I swear,\xa0elitist assclowns like utter embarrassment."""
0,20120528072334Z,"""And you, proud lord said, I must bow low?Only cat different\ufeff coat,\xa0that\u2019s truth I know.\xa0In coat gold coat red,\xa0a lion still claws,\xa0And mine long sharp,\xa0my lord, long sharp yours.\xa0And spoke,\xa0and spoke,\xa0that lord Castamere,\xa0But rains weep o\u2019er hall,\xa0with one hear.\xa0Yes rains weep o\u2019er hall,\xa0and soul hear.\n\nEDIT\nREPLY"""
1,20120610043808Z,"""Well OP would learn cannot diagnose Aspergers, self-diagnosis bad thing leading people act stupidly think disorder/disease\xa0that actuality, don't."""
0,20120514051030Z,"""You went full retard. Never go full retard."""
0,20120612135932Z,"""Somehow, I feel Pakistan right middle garbage. Yet, United States keeps supplying arms money. No sense all."""
1,20120609164746Z,"""You act like faced good team. You played like crap another crappy team."""
0,20120527173211Z,"""He still played. say much. And obviously Heat reserves going lose either way. It Lebron Wade playing post season celtics need worry."""
0,20120619080221Z,"""That sounds familiar. Mom picking subscriptions veto power stop her."""
0,20120612011322Z,"""@roCkhopper\xa0Lancaster PA mah friend. Wez ghetto"""
0,20120612121650Z,"""He right thing. Too bad someone thing Sandusky."""
0,,"""eish Wenger stupid mistake never admit anyway.....it good us Ox taken going lose match Wenger brilliant Sub...Good luck guys 4th spot."""
0,20120609231226Z,"""We thinking back time young GHWB goaded ambitious young wife eliminate JFK., \xa0it would go something like this,Babs, I can't stand JFK, get rid white trash. \xa0Then little later Babs said I can't stand MM gonna run mouth then, RK finished. \xa0Now would much better HBO movie...the white-washed Bush Legacy getting tough swallow."""
0,,"""are talking conservatives cheered idea letting man ie didnt insurance?\\n\\nor conservatives booed gay soldier currently deployed."""
0,20120612063755Z,"""im sorry dont nobody pick somebody randomly start attacking...like went ham reason. kimora seem like one low-key stank bitches. might true kimora played role. aint black chick gon go like that."""
0,,"""People born gay since beginning time.\\xc2\\xa0 Today, social media web CONSTITUTION OF THE UNITED STATES, they're going shut-up anymore.\\xc2\\xa0 Despite vile attacks right."""
0,20120529022036Z,"""Oh god, one hilarious video. It one Professor Layton rapist dude, right? XD I click it, I've seen before. So funny. ^_^ (No matter odd sounds.)"""
1,20120609203038Z,"""Wait said though country nice one world- bout take food dog help feed population world thought america great right, always try use theor ethics- apparently losers like selfish andignorant"""
0,,"""Gosh, Peggy Hill ... Don't make laugh.\\xc2\\xa0 In addition money ... Romney Newt bombastic serious liability general ... polls show intelligent conservatives feel ... style substance.\\xc2\\xa0 Both thing office entirely different styles.\\xc2\\xa0 Newt ruffles feathers day long drawing stark contrasts even means lying exagerrating ... like calling Mitt anti-immigrant national TV ... unbelievable.\\xc2\\xa0 And since Peggy Hill knows far less national politics I since I studied 25 years, I'm inclined persuaded her.\\xc2\\xa0 She describes political scene like I used 15 years ago ... little expertise, I pay lot attention disagree.\\n\\nPeggy Hill Great American I love Newt dearly time vote heart ... way much stake!\\xc2\\xa0 Newt world's best field general his\\xc2\\xa0temper tone wearing I'm conservative ... I imagine offended Independents beginning feel.\\xc2\\xa0 \\n\\nSure helped Mitt raised money ... essential beating Dingle Barry ... Peggy Hill sounds like OWS'er ranting Mitt money ... thank God ... that's about! So Newt zombies really ought Hokey Pokey turn around, lol.\\n\\nIf Newt fold lies carpet bombing ... said would ... he's got zero chance beating Owebamao ... think ... that's Barry does.\\n\\nI care much Mitt uninspiring ... I know beat Owebamao I know attract Independents Latinos 2014... particularly Romney/Rubio ticket.\\xc2\\xa0 My first choice POTUS Christy/Rubio ticket ... neither running back Romney.\\n\\nBy time Super Tuesday rolls around, Mitt prolly already clear front runner I never count Newt out.\\n\\nBut Peggy Hill upset Mitt raised outspent Newt laughable .... that's supposed do!\\n\\n\\nBTW - Remember Sirens???\\n\\nBeautiful half-woman, half-bird-like Newt creatures sang sweet songs listeners forgot everything including safety. The Sirens Newtish sisters lure sailors death. The sonsg Sirens irresistible reside beyond unsurpassable reefs destroy sailors' boat try reach Sirens. Among tempted Jason Argo Odysseus. Odysseus escaped filling crew's ears wax tied ship's mast ... sayin'."""
0,20120610062931Z,"""some fukin sketchers thats sad omg lol fuckin shitty ass sketchers fuck even named sketchers sketcherz fuckin suck ass"""
0,20120528173522Z,"""But care Mikey.\xa0 Hey look likes it.\xa0 Hey Mikey likes it."""
0,20120529070441Z,"""me too! hope fix sooner.."""
1,20120610121856Z,"""You married turd, bred him..."""
1,20120620010449Z,"""HEY KRYSTAL: YOU STUPID IDIOT WHO Can't Understand Normal Thinking.. fhuck howre"""
1,20120612034208Z,"""huck huck huck, no... giant pictures beating the_crap idiots like ok!!"""
0,20120529194546Z,"""""It's you, me""\n\nWords I'm sure zoobs heard life."""
0,20120620145312Z,"""Dude red iPod says 98* today"""
0,20120611163852Z,"""Yes, structures actually burned fire.\xa0 The issue forest itself.\xa0 We're talking millions acres dry forest area mountainous high percentage land accessible vehicles.\xa0 This part would normal natrual cycle, beetle-kill trees average (and average minimal) precipitation.\xa0 In meantime, we've got smoke major city flames approaching.\xa0 Plus, watershed South Platte, heavily worked river state, fire-damaged areas wreak havic water quality precipitate flash floods."""
0,20120620023734Z,"""""I'm introvert. You wonderful person I like you. But please shush."" Hee. Yeah, I've there."""
1,20120618233707Z,"""He Michigan primaries. Holy shit, dumb."""
0,20120620033616Z,"""What a\xa0\xa0 $\xa0\xa0 t\xa0\xa0 u\xa0\xa0 p\xa0\xa0 1\xa0\xa0 d\xa0\xa0\xa0\xa0 p\xa0 h u c k k\xa0 i\xa0 n\xa0 g\xa0\xa0\xa0 k\xa0 u\xa0 u\xa0 n\xa0 n\xa0 t\xa0 t!"""
0,20120612083222Z,"""""and Israel die""\n\nI knew would bring Israel point."""
0,20120515061822Z,"""Remember haters screaming get rid Blanton season??? Where now????\nNot fat Joe pitching pudgy lil heart out...oh...and guess what...this team starting hit...another thing haters like dwell on...where now?? All Chollie bashers ain't showing butts you?? Whatsamatter? Seeing faithful's faith team well deserved them?? Gotta luv ""paper"" fans....gotta luv them....get hell bandwagon wannabe calle fans....."""
0,20120612015713Z,"""He regretted killing quickly."""
0,20120609192115Z,"""I notice responded. You care telling people dumb are. Again team UJ???"""
0,20120528214436Z,"""Uhhh I hate Dodgers, best team right now, I agree AL > NL best team moment"""
0,20120515133119Z,"""I keep fresher next bitch\nno need..for ever sweat next bitch\n..with speed, I make best bitch see exit..indeed,\xa0\nyou gotta know thoroughly respected me,\nyou get keys Lexus, driver\nyou gotcha '96 suh-in..the ride\nand keep ass tighter Versace thats why\nyou gotta watch friends got watch me\nthey conniving shit\nthe first chance crack bank\nthey try me, get 50 cent franks\nand papayas, village tele\ntime kill belly question\xa0\nI got black chicks sheets Essence\nthey say sex weapon, I shoot\nmmet death less 8 seconds\nstill poundin life..\nlaugin shit tight\nyou askin right...\n\n[Chorus:]\nAint nigga like one I got\nno one fuck betta\nsleeps around gives alot\nkeeps diamonds and"""
0,20120609210927Z,"""Nope..your maths!..its 159 played 16 draws., Glenwood thankfull draw. Maritzburg College better team field day."""
0,,"""@aarongmyers honest translation Ender's Game great... much like first book HP series, I avoiding challenge Chinese long. But I agree finding something fun read. The key able provide ability comprehensible input reading. Going dictionary every word still understanding reading one painful things deal language learner."""
0,20120610012214Z,"""yeah well director interpretation always best insight things like this, especially something rabid fan base. On top think condensing would liked...even golden age kinda meh comparison drama going now, would least liked show thing battle field."""
0,20120620024551Z,"""You KNOW RULES - one DELETE equal 50 REPOSTS\n#37 WHAT EXAMPLE TOTALITARIANISM USA? Here is...Last August, Obama's DHS announced would longer deport noncitizen spouses gay Americans\xa0\xa0\nLOL, get yer musket Myrtle follow BUNKER! They'll take us alive!!"""
0,,"""From I see, men like women physically fit. You look like runway model, YOU DO need look like take care yourself, eat reasonably well, exercise. Studies shown (though I'm referencing information I read YEARS ago) WM actually prefer larger body type WW, large BM HM. WW seem want size zero, WM seem like athletic Swedish model body. Anyway, I think ladies look attractive. However, I understand fixation butts thighs WAY proportion rest one's figure. That attractive me, personally. I get it. And, seeing HUGE rear small girl make sense. I know physically possible skinny arms, legs, waist, still humongous derriere and/or thighs. Many men like nice-sized butt, including WM AM (I know experience), BW's full, round bottom necessarily problem men general. But, MOST men (including BM) want bottom that's obese looks like planet. Get stay shape health opportunities, BW."""
0,20120502191320Z,"""You're better that, pola."""
0,20120502160111Z,"""oh know irreplacable! (Just ask them)"""
0,20120514050850Z,"""@cheatingrangers\xa0\n\xa0\nWe shall see fool predicts future, qualify."""
0,20120528201016Z,"""What's story? Sporadic starts? Never 5 innings?"""
1,20120619165642Z,"""Ms Jenkums could please look at\xa0the right hand corner top\xa0and click red X, never return\xa0again pls.....You dumb know dumb......Click\xa0it\xa0now....And come back hear...."""
1,,"""Listen fucking wanker -- approve comments, long inflammatory type people. We censor blatant bigotry. But little dickwrinkles like calling pussy? I'd never censor that. Look posts...people wished AIDS dude, so...I've heard worse fuckhead.That said, sleep woman 60s, that's pretty sad, dude. Try dating girls age. It's kind weird way older chicks. You might wanna rethink hugging mom boner going forward.Plus, I ass every male entire family line -- fucked teeth small dicks -- ever seen. Just point clarification, bucket cunt slop."""
0,20120528064022Z,"""Hey\xa0@ign-b9606001de921324b66a3e5949ba481e:disqus\xa0, awesome!"""
1,,"""ima fuck 2 white bitches. got sister? ima fuck ass. ima fuck ya ball headed\\xc2\\xa0 sister everybody go youtube look vid look info section fags address facebook parents name phone numbers real talk take look..i aint snitch see shit like goin gets me..i live around see em ima fuck upp good prolly gonna cut bitch too"""
1,20120609231632Z,"""Retard, everyone wasnt bad. Everyone fallen angel blood them. God didnt want that. God wanted humans human angels angelic. Not damn hybrid. Read bible fuck interpretation."""
1,20120610015253Z,"""All racists like morons, dude! \n\nIt happens pit bull owners morons & even convinced that."""
1,20120611164014Z,"""It's hard read post immediately think xenophobic"""
0,20120529060616Z,"""Thanks Kosh I happy normal"""
0,20120502132655Z,"""You talented photographer!"""
0,20120610151909Z,"""Wowee!!\xa0 Those high-energy, smart dogs.\xa0 And weeks away delivery.\xa0 Your life get even interesting already is!\xa0 :)"""
0,,"""@noBjustRyan stubborn anyone else opinions. name calling went far, agree."""
1,20120611000207Z,"""Fuck Fred"""
0,20120612132204Z,"""They seem run away hide whenever question Fox News talking points."""
0,,"""Michelle Obama suck it!! I sick tired screwed Government telling us cannot do... especially comes kids!!! Stay hell lives!!! Save REPUBLIC revolt socialism!!"""
1,20120529011014Z,"""go suckle mom's teet little child"""
